Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A
A,2008-03-07 17:20:02,2019-08-30 16:29:03,35
AA,2018-08-02 17:07:00,2019-05-09 16:16:05,3
AABA,2011-08-08 16:33:02,2017-05-09 16:07:02,14
AACH,2014-11-12 17:20:04,2018-11-06 07:50:02,11
AAGH,2014-02-14 15:47:05,2018-05-21 17:06:01,6
AAL,2010-07-21 16:58:02,2019-10-24 07:38:02,25
AAMC,2013-05-09 13:43:00,2019-11-06 07:40:00,22
AAME,2008-05-15 11:13:00,2019-11-12 16:44:02,36
AAN,2008-05-06 15:34:01,2019-11-04 16:35:03,32
AANC,2019-05-14 16:12:00,2019-11-12 17:02:04,3
AAOI,2017-05-09 16:03:00,2019-11-07 16:04:03,9
AAON,2013-08-08 16:07:05,2019-08-01 11:18:02,19
AAP,2008-11-12 17:28:03,2019-11-12 16:03:01,22
AAPL,2015-04-28 17:01:01,2015-04-28 17:01:01,1
AASP,2009-05-15 16:13:05,2019-11-14 16:54:05,21
AAT,2011-05-13 16:49:03,2019-11-01 16:18:04,27
AAWW,2008-05-08 16:21:04,2018-11-01 12:49:04,31
AAXN,2008-11-07 17:26:05,2019-11-07 18:20:02,29
AB,2008-05-02 18:23:01,2013-10-24 07:27:04,5
ABAX,2008-02-11 14:39:04,2018-02-09 16:38:00,26
ABBV,2013-05-08 16:53:00,2019-11-06 10:16:04,21
ABC,2009-02-05 16:49:01,2019-08-01 14:24:05,32
ABCB,2008-08-07 14:06:05,2019-11-08 14:33:00,32
ABCD,2010-05-14 16:45:02,2018-11-01 16:27:05,17
ABCE,2014-09-26 15:40:00,2019-11-19 10:13:04,19
ABCO,2008-08-11 16:24:05,2017-11-08 16:29:03,25
ABCP,2009-05-13 11:52:05,2009-11-10 11:07:04,3
ABDC,2015-11-09 20:32:02,2019-11-05 18:01:02,13
ABEO,2016-05-16 16:15:04,2018-11-09 16:06:05,2
ABG,2011-04-27 16:49:04,2019-10-30 17:24:04,27
ABIO,2008-05-09 13:57:03,2019-11-06 16:21:02,36
ABM,2008-03-10 15:50:00,2019-09-06 14:31:00,31
ABMC,2011-08-15 16:18:03,2019-11-14 17:06:02,14
ABML,2016-08-22 17:18:02,2019-08-16 16:02:00,15
ABMT,2008-06-16 16:54:03,2019-09-20 16:34:00,14
ABQQ,2019-01-22 11:14:05,2019-07-15 16:59:00,3
