Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
A,2005-07-15,2020-07-10,1062200.007,956607.163
AA,2016-10-18,2020-07-10,1210122.022,1326981.609
AAL,2013-12-09,2020-07-10,3570207.869,3834826.658
AAME,2005-07-15,2020-07-10,161.207,169.017
AAN,2005-07-15,2020-07-10,143898.64,531.064
AAOI,2013-09-26,2020-07-10,290577.361,28078.019
AAON,2005-07-15,2020-07-10,27043.861,3696.287
AAP,2005-07-15,2020-07-10,892618.51,379155.087
AAPL,2005-07-15,2020-07-10,46570800.772,13903827.912
AAT,2011-01-14,2020-07-10,63533.086,37451.356
AAWW,2005-10-10,2020-07-10,113472.164,38202.974
AAXN,2005-07-15,2020-07-10,217439.254,194218.707
ABBV,2012-12-10,2020-07-10,4164205.681,1778295.957
ABC,2005-07-15,2020-07-10,946867.147,515910.435
ABCB,2005-07-15,2020-07-10,34617.16,2346.236
ABEO,2014-12-19,2020-07-10,60407.043,117997.785
ABG,2005-07-15,2020-07-10,100364.585,11721.464
ABIO,2009-01-28,2020-07-10,15862.204,1892.579
ABM,2005-07-15,2020-07-10,71474.477,22205.15
ABMD,2005-07-15,2020-07-10,338001.04,8615.828
ABR,2005-07-15,2020-07-10,28587.981,9664.408
ABT,2005-07-15,2020-07-10,2869074.212,1348696.519
ABTX,2015-10-08,2020-07-10,17027.493,10249.719
AC,2015-11-16,2020-07-10,4693.923,5255.203
ACA,2018-10-30,2020-07-10,118149.34,125075.136
ACAD,2005-07-15,2020-07-10,258453.806,33178.139
ACBI,2015-11-02,2020-07-10,12875.97,10367.969
ACC,2005-07-15,2020-07-10,189467.353,11925.118
ACCO,2005-08-09,2020-07-10,52207.149,82562.697
ACER,2015-09-29,2020-07-10,5955.707,5398.956
ACGL,2005-07-15,2020-07-10,283800.006,93607.497
ACHC,2011-11-02,2020-07-10,278366.839,24046.15
ACHV,2018-05-25,2020-07-10,19457.803,28427.367
ACIA,2016-05-13,2020-07-10,471923.744,1136217.04
ACIW,2007-07-25,2020-07-10,101788.967,105835.969
ACLS,2005-07-15,2020-07-10,38276.883,74500.052
ACM,2007-05-10,2020-07-10,287096.822,245631.611
ACMR,2017-11-03,2020-07-10,52855.66,6741.796
ACN,2005-07-15,2020-07-10,1796342.932,519075.858
ACNB,2010-12-21,2020-07-10,1354.325,268.202
ACOR,2006-02-10,2020-07-10,141515.044,126161.286
ACRE,2012-04-26,2020-07-10,15568.809,8366.391
ACRS,2015-10-07,2020-07-10,35421.403,11092.866
ACRX,2011-02-11,2020-07-10,29156.31,995.962
ACTG,2005-07-15,2020-07-10,48090.182,7427.055
ACU,2005-07-15,2020-07-10,940.273,2008.724
ACY,2005-07-15,2020-07-10,1029.157,117.08
ADBE,2005-07-15,2020-07-10,2815571.368,1769004.81
ADC,2005-07-15,2020-07-10,46642.588,3149.293
ADES,2005-07-15,2020-07-10,8501.631,2316.43
ADI,2012-04-02,2020-07-10,1416957.572,682287.715
ADM,2005-07-15,2020-07-10,1261408.317,576331.811
ADMA,2013-10-17,2020-07-10,13289.233,653.868
ADMP,2005-07-15,2020-07-10,13597.684,3138.796
ADMS,2014-04-10,2020-07-10,64142.445,13508.828
ADNT,2016-10-17,2020-07-10,452920.065,652399.664
ADP,2008-10-21,2020-07-10,1469318.179,1224683.335
ADRO,2015-04-15,2020-07-10,42624.983,112121.683
ADS,2005-07-15,2020-07-10,891009.889,306978.233
ADSK,2005-07-15,2020-07-10,1365972.928,1047621.954
ADSW,2016-10-06,2020-07-10,184862.815,81741.027
ADT,2018-01-19,2020-07-10,178762.728,330853.976
ADTN,2005-07-15,2020-07-10,148278.402,239544.89
ADUS,2009-10-28,2020-07-10,25233.915,4526.279
ADVM,2014-07-31,2020-07-10,62684.206,97101.924
ADXS,2013-10-17,2020-07-10,57889.55,9461.896
AE,2005-07-15,2020-07-10,2504.198,1283.743
AEE,2005-07-15,2020-07-10,484470.837,176566.759
AEGN,2011-10-26,2020-07-10,35555.525,39348.359
AEHR,2005-07-15,2020-07-10,1633.851,834.272
AEIS,2005-07-15,2020-07-10,97848.992,69671.624
AEL,2005-07-15,2020-07-10,83618.614,45960.475
AEMD,2008-04-14,2020-07-10,6699.276,3234.634
AEO,2007-03-08,2020-07-10,596615.778,602448.908
AEP,2005-07-15,2020-07-10,1033065.117,304928.222
AERI,2013-10-25,2020-07-10,159044.74,34523.759
AES,2005-07-15,2020-07-10,594269.768,252545.659
AEY,2007-09-12,2020-07-10,1083.96,4272.584
AFG,2005-07-15,2020-07-10,152729.052,69009.099
AFH,2013-02-12,2020-07-10,8152.287,2270.846
AFI,2016-03-17,2020-07-10,21171.418,33581.693
