Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
AAPL,2015-04-28,2015-04-28,1,2005-07-15,2020-07-10,46570800.772,13903827.912
FB,2012-07-31,2019-10-30,3,2012-05-18,2020-07-10,26730677.12,14760665.961
AMZN,2008-04-24,2014-10-23,9,2005-07-15,2020-07-10,17351890.328,2694010.754
MSFT,2008-01-24,2019-04-24,34,2005-07-15,2020-07-10,16587354.004,11491788.782
BAC,2008-05-08,2019-10-28,16,2005-07-15,2020-07-10,15531939.431,3849532.018
TSLA,2011-11-14,2019-04-29,11,2010-06-29,2020-07-10,14306983.527,352635.969
C,2008-05-02,2019-11-01,36,2005-07-15,2020-07-10,11879922.86,4976154.236
JPM,2008-05-12,2019-11-04,37,2005-07-15,2020-07-10,10011308.827,2458524.29
NFLX,2009-05-07,2012-08-01,4,2005-07-15,2020-07-10,9200029.004,344242.613
INTC,2013-04-29,2017-10-26,15,2005-07-15,2020-07-10,8865220.737,9101682.835
ROKU,2017-11-09,2019-05-10,4,2017-09-28,2020-07-10,8719301.112,2703718.228
GE,2008-07-25,2019-10-30,25,2005-07-15,2020-07-10,8603675.459,4546740.387
GS,2012-05-09,2019-08-05,23,2005-07-15,2020-07-10,8173784.329,3653065.353
CSCO,2008-02-19,2019-11-19,36,2005-07-15,2020-07-10,7951268.509,7562382.576
UBER,2019-06-03,2019-11-05,3,2019-05-10,2020-07-10,7694863.588,6185544.798
BYND,2019-06-12,2019-11-12,3,2019-05-02,2020-07-10,7379141.277,6720471.165
NVDA,2008-08-21,2019-11-14,26,2005-07-15,2020-07-10,7200776.326,1478514.343
MU,2011-07-12,2019-06-26,26,2009-12-30,2020-07-10,7117100.089,3007719.891
TWTR,2014-05-08,2019-04-30,16,2013-11-07,2020-07-10,6525938.764,9632518.402
PFE,2009-05-08,2019-11-07,25,2005-07-15,2020-07-10,6381725.402,3758703.816
BA,2008-04-23,2019-10-23,36,2005-07-15,2020-07-10,6332618.149,1643938.296
ORCL,2008-04-01,2019-12-13,36,2005-07-15,2020-07-10,6168917.439,4656677.982
JNJ,2009-08-04,2019-10-28,26,2005-07-15,2020-07-10,6037438.423,3208852.39
QCOM,2008-01-23,2019-07-31,36,2005-07-15,2020-07-10,5847637.838,4121408.84
T,2018-11-02,2018-11-02,1,2005-07-15,2020-07-10,5792648.97,1481028.834
WMT,2011-12-08,2019-12-04,26,2005-07-15,2020-07-10,5736511.476,4229237.501
PG,2008-05-01,2015-01-27,12,2005-07-15,2020-07-10,5428904.351,2823957.376
IBM,2008-04-29,2019-10-29,35,2005-07-15,2020-07-10,5381265.995,2928391.917
DIS,2019-05-08,2019-08-06,2,2005-07-15,2020-07-10,5306668.697,1835859.456
AVGO,2018-06-14,2019-09-13,5,2016-02-02,2020-07-10,5250263.775,3329629.627
PYPL,2015-07-29,2019-10-24,14,2015-07-06,2020-07-10,5131595.2,3530344.676
CMCSA,2008-05-01,2019-10-24,36,2005-07-15,2020-07-10,4807086.325,1987170.99
SLB,2011-07-27,2019-04-24,14,2005-07-15,2020-07-10,4671537.188,3942551.175
SQ,2016-05-06,2019-11-06,12,2015-11-19,2020-07-10,4638605.903,350798.104
HD,2008-06-04,2019-11-25,12,2005-07-15,2020-07-10,4605934.9,2287214.653
VZ,2019-04-26,2019-10-30,3,2005-07-15,2020-07-10,4567727.234,1604224.646
FCX,2008-05-12,2019-11-06,36,2005-07-15,2020-07-10,4521669.375,979132.767
MA,2008-04-29,2019-10-29,26,2006-05-25,2020-07-10,4491541.416,1999117.754
MRK,2010-05-07,2019-11-05,26,2005-07-15,2020-07-10,4455817.501,1577047.244
KO,2008-04-25,2019-10-24,37,2005-07-15,2020-07-10,4236231.748,1514545.918
DD,2018-05-04,2019-10-31,6,2017-09-01,2020-07-10,4170304.361,4884870.26
ABBV,2013-05-08,2019-11-06,21,2012-12-10,2020-07-10,4164205.681,1778295.957
EBAY,2010-10-20,2011-07-21,3,2005-07-15,2020-07-10,4099871.824,5851251.135
UNH,2018-08-07,2018-08-07,1,2005-07-15,2020-07-10,4022835.597,2631908.913
CAT,2008-05-02,2019-10-31,35,2005-07-15,2020-07-10,4003599.328,1610005.767
MS,2016-11-02,2019-11-05,10,2005-07-15,2020-07-10,3998765.746,1792982.914
MCD,2008-05-06,2019-11-04,36,2005-07-15,2020-07-10,3983962.993,1415073.476
AMGN,2011-05-10,2019-10-29,23,2005-07-15,2020-07-10,3971301.743,5193573.454
AIG,2008-05-08,2019-11-01,36,2005-07-15,2020-07-10,3965560.867,3405583.766
COP,2008-04-30,2019-10-31,35,2005-07-15,2020-07-10,3943776.56,3280787.413
HAL,2012-07-27,2019-10-25,23,2005-07-15,2020-07-10,3907048.431,3629441.592
SNAP,2017-08-10,2019-04-23,5,2017-03-02,2020-07-10,3660930.742,4524165.785
F,2011-05-10,2019-10-23,27,2005-07-15,2020-07-10,3650295.638,909806.777
HPQ,2008-03-10,2019-08-29,36,2005-07-15,2020-07-10,3578554.366,2493899.812
CVS,2008-05-01,2019-11-06,36,2005-07-15,2020-07-10,3394661.824,972918.72
SBUX,2008-02-07,2019-07-30,28,2005-07-15,2020-07-10,3306490.39,1253199.656
AXP,2008-05-02,2019-10-21,9,2005-07-15,2020-07-10,3210052.898,2109158.766
BMY,2009-04-28,2019-10-31,33,2005-07-15,2020-07-10,3161261.548,915408.519
LYFT,2019-05-14,2019-08-13,2,2019-03-29,2020-07-10,3150053.114,3340823.976
WBA,2016-01-07,2019-06-27,8,2014-12-31,2020-07-10,3124626.212,2848643.205
CRM,2008-05-23,2019-12-04,31,2005-07-15,2020-07-10,3090306.222,450497.384
PM,2012-05-04,2019-10-24,24,2008-03-17,2020-07-10,3025761.766,2741547.497
LOW,2008-09-03,2019-12-03,25,2005-07-15,2020-07-10,3022656.172,1843104.642
TGT,2008-06-02,2019-11-27,36,2005-07-15,2020-07-10,2978823.745,1518485.074
NKE,2013-10-07,2019-10-04,19,2005-07-15,2020-07-10,2937775.993,1230903.193
AMAT,2012-02-27,2019-08-22,24,2005-07-15,2020-07-10,2914932.791,3132303.566
