Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
AAPL,2015-04-28,2015-04-28,1,2005-07-15,2020-07-10,46570800.772,45148191.388
FB,2012-07-31,2019-10-30,3,2012-05-18,2020-07-10,26730677.12,36743953.237
AMZN,2008-04-24,2014-10-23,9,2005-07-15,2020-07-10,17351890.328,42077860.633
MSFT,2008-01-24,2019-04-24,34,2005-07-15,2020-07-10,16587354.004,20848683.269
BAC,2008-05-08,2019-10-28,16,2005-07-15,2020-07-10,15531939.431,18574394.318
TSLA,2011-11-14,2019-04-29,11,2010-06-29,2020-07-10,14306983.527,17091025.73
C,2008-05-02,2019-11-01,36,2005-07-15,2020-07-10,11879922.86,10276012.385
JPM,2008-05-12,2019-11-04,37,2005-07-15,2020-07-10,10011308.827,12626181.768
NFLX,2009-05-07,2012-08-01,4,2005-07-15,2020-07-10,9200029.004,18868553.497
INTC,2013-04-29,2017-10-26,15,2005-07-15,2020-07-10,8865220.737,12231919.089
ROKU,2017-11-09,2019-05-10,4,2017-09-28,2020-07-10,8719301.112,2703718.228
GE,2008-07-25,2019-10-30,25,2005-07-15,2020-07-10,8603675.459,12250289.22
GS,2012-05-09,2019-08-05,23,2005-07-15,2020-07-10,8173784.329,5847295.027
CSCO,2008-02-19,2019-11-19,36,2005-07-15,2020-07-10,7951268.509,8186165.01
UBER,2019-06-03,2019-11-05,3,2019-05-10,2020-07-10,7694863.588,6185544.798
BYND,2019-06-12,2019-11-12,3,2019-05-02,2020-07-10,7379141.277,6720471.165
NVDA,2008-08-21,2019-11-14,26,2005-07-15,2020-07-10,7200776.326,26525751.989
MU,2011-07-12,2019-06-26,26,2009-12-30,2020-07-10,7117100.089,21564351.871
TWTR,2014-05-08,2019-04-30,16,2013-11-07,2020-07-10,6525938.764,6940409.018
PFE,2009-05-08,2019-11-07,25,2005-07-15,2020-07-10,6381725.402,6178130.795
BA,2008-04-23,2019-10-23,36,2005-07-15,2020-07-10,6332618.149,10855782.106
ORCL,2008-04-01,2019-12-13,36,2005-07-15,2020-07-10,6168917.439,6622632.415
JNJ,2009-08-04,2019-10-28,26,2005-07-15,2020-07-10,6037438.423,7110423.592
QCOM,2008-01-23,2019-07-31,36,2005-07-15,2020-07-10,5847637.838,5905450.177
T,2018-11-02,2018-11-02,1,2005-07-15,2020-07-10,5792648.97,8869607.148
WMT,2011-12-08,2019-12-04,26,2005-07-15,2020-07-10,5736511.476,7860016.879
PG,2008-05-01,2015-01-27,12,2005-07-15,2020-07-10,5428904.351,6032899.361
IBM,2008-04-29,2019-10-29,35,2005-07-15,2020-07-10,5381265.995,5891124.667
DIS,2019-05-08,2019-08-06,2,2005-07-15,2020-07-10,5306668.697,7152253.181
AVGO,2018-06-14,2019-09-13,5,2016-02-02,2020-07-10,5250263.775,6485456.448
PYPL,2015-07-29,2019-10-24,14,2015-07-06,2020-07-10,5131595.2,6074023.027
CMCSA,2008-05-01,2019-10-24,36,2005-07-15,2020-07-10,4807086.325,8226738.088
SLB,2011-07-27,2019-04-24,14,2005-07-15,2020-07-10,4671537.188,4493968.314
SQ,2016-05-06,2019-11-06,12,2015-11-19,2020-07-10,4638605.903,5899232.879
HD,2008-06-04,2019-11-25,12,2005-07-15,2020-07-10,4605934.9,6764721.672
VZ,2019-04-26,2019-10-30,3,2005-07-15,2020-07-10,4567727.234,6577183.674
FCX,2008-05-12,2019-11-06,36,2005-07-15,2020-07-10,4521669.375,2784026.026
MA,2008-04-29,2019-10-29,26,2006-05-25,2020-07-10,4491541.416,4928586.699
MRK,2010-05-07,2019-11-05,26,2005-07-15,2020-07-10,4455817.501,5789626.371
KO,2008-04-25,2019-10-24,37,2005-07-15,2020-07-10,4236231.748,4432735.201
DD,2018-05-04,2019-10-31,6,2017-09-01,2020-07-10,4170304.361,4788996.858
ABBV,2013-05-08,2019-11-06,21,2012-12-10,2020-07-10,4164205.681,5291592.729
EBAY,2010-10-20,2011-07-21,3,2005-07-15,2020-07-10,4099871.824,3281613.036
UNH,2018-08-07,2018-08-07,1,2005-07-15,2020-07-10,4022835.597,5821301.324
CAT,2008-05-02,2019-10-31,35,2005-07-15,2020-07-10,4003599.328,5775218.868
MS,2016-11-02,2019-11-05,10,2005-07-15,2020-07-10,3998765.746,4016629.143
MCD,2008-05-06,2019-11-04,36,2005-07-15,2020-07-10,3983962.993,5053510.798
BKNG,2008-03-10,2019-11-07,38,2005-07-15,2020-07-10,3983944.614,5321036.012
AMGN,2011-05-10,2019-10-29,23,2005-07-15,2020-07-10,3971301.743,4798214.24
AIG,2008-05-08,2019-11-01,36,2005-07-15,2020-07-10,3965560.867,2998246.924
COP,2008-04-30,2019-10-31,35,2005-07-15,2020-07-10,3943776.56,3282721.578
HAL,2012-07-27,2019-10-25,23,2005-07-15,2020-07-10,3907048.431,3503259.281
SNAP,2017-08-10,2019-04-23,5,2017-03-02,2020-07-10,3660930.742,3717879.534
F,2011-05-10,2019-10-23,27,2005-07-15,2020-07-10,3650295.638,3916903.491
HPQ,2008-03-10,2019-08-29,36,2005-07-15,2020-07-10,3578554.366,1892684.975
CVS,2008-05-01,2019-11-06,36,2005-07-15,2020-07-10,3394661.824,5121672.982
SBUX,2008-02-07,2019-07-30,28,2005-07-15,2020-07-10,3306490.39,4572266.948
AXP,2008-05-02,2019-10-21,9,2005-07-15,2020-07-10,3210052.898,2864142.967
BMY,2009-04-28,2019-10-31,33,2005-07-15,2020-07-10,3161261.548,3584017.493
LYFT,2019-05-14,2019-08-13,2,2019-03-29,2020-07-10,3150053.114,3340823.976
WBA,2016-01-07,2019-06-27,8,2014-12-31,2020-07-10,3124626.212,3532901.642
CRM,2008-05-23,2019-12-04,31,2005-07-15,2020-07-10,3090306.222,4864500.202
PM,2012-05-04,2019-10-24,24,2008-03-17,2020-07-10,3025761.766,4143247.864
LOW,2008-09-03,2019-12-03,25,2005-07-15,2020-07-10,3022656.172,4882912.872
TGT,2008-06-02,2019-11-27,36,2005-07-15,2020-07-10,2978823.745,3586783.937
NKE,2013-10-07,2019-10-04,19,2005-07-15,2020-07-10,2937775.993,4765777.676
AMAT,2012-02-27,2019-08-22,24,2005-07-15,2020-07-10,2914932.791,6233187.414
UNP,2008-04-24,2019-10-17,36,2005-07-15,2020-07-10,2878054.714,4316403.815
ABT,2014-05-07,2019-10-31,18,2005-07-15,2020-07-10,2869074.212,3239116.578
OXY,2008-08-05,2019-11-04,19,2005-07-15,2020-07-10,2817563.463,2592335.39
ADBE,2008-04-04,2019-09-26,29,2005-07-15,2020-07-10,2815571.368,4452088.736
BIIB,2012-05-01,2019-10-22,24,2005-07-15,2020-07-10,2812082.704,3410321.758
MDT,2015-02-27,2019-08-30,14,2005-07-15,2020-07-10,2778693.963,3667231.603
VLO,2008-05-09,2019-11-07,17,2005-07-15,2020-07-10,2760308.622,2553555.612
MO,2008-08-07,2019-10-31,23,2005-07-15,2020-07-10,2714433.992,3826571.972
MMM,2008-05-02,2019-10-25,36,2005-07-15,2020-07-10,2668546.459,4102459.902
DAL,2009-04-23,2019-10-10,33,2007-04-26,2020-07-10,2646949.567,3404658.357
USB,2008-05-12,2019-11-07,32,2005-07-15,2020-07-10,2577556.658,2878175.176
RIG,2009-05-06,2019-04-30,14,2005-07-15,2020-07-10,2557152.074,1421203.2
EOG,2010-08-05,2019-11-06,25,2005-07-15,2020-07-10,2554448.027,2853643.85
NEM,2010-04-27,2019-11-05,16,2005-07-15,2020-07-10,2541652.976,1529920.223
LVS,2009-11-06,2019-10-25,25,2005-07-15,2020-07-10,2507181.374,1802888.945
LLY,2009-10-30,2019-10-25,27,2005-07-15,2020-07-10,2489705.361,2758249.248
COST,2008-03-28,2019-12-20,36,2005-07-15,2020-07-10,2479580.439,3795906.474
TWLO,2016-08-09,2019-10-31,11,2016-06-23,2020-07-10,2479545.513,673419.751
CHTR,2012-05-08,2019-10-25,24,2010-09-14,2020-07-10,2432704.515,4729971.045
FSLR,2008-05-01,2019-10-24,33,2006-11-17,2020-07-10,2413876.747,1237066.871
DE,2010-03-01,2019-08-29,12,2005-07-15,2020-07-10,2299637.043,2921042.888
UPS,2009-05-07,2019-10-29,33,2005-07-15,2020-07-10,2296691.873,3264281.685
HON,2008-10-17,2019-10-17,4,2005-07-15,2020-07-10,2282173.606,3383102.066
FDX,2008-03-20,2019-03-19,34,2005-07-15,2020-07-10,2272688.295,2898064.964
NVR,2015-05-01,2017-07-28,8,2005-07-15,2020-07-10,2259402.087,7874056.532
KHC,2015-11-06,2019-10-31,15,2015-07-06,2020-07-10,2249157.668,2480940.496
PINS,2019-05-16,2019-10-31,3,2019-04-18,2020-07-10,2244831.212,1912021.841
APA,2008-05-12,2018-11-01,7,2005-07-15,2020-07-10,2227833.149,1436558.47
DVN,2008-05-08,2019-11-06,29,2005-07-15,2020-07-10,2202959.974,2114217.707
KMI,2011-05-06,2019-10-18,27,2011-02-11,2020-07-10,2193014.568,2151238.681
MPC,2011-08-09,2019-11-04,26,2011-06-23,2020-07-10,2155436.219,2459945.341
MET,2008-05-09,2019-11-04,33,2005-07-15,2020-07-10,2155228.16,2251742.767
ANTM,2009-04-22,2011-10-26,7,2005-07-15,2020-07-10,2153195.365,2756876.898
COF,2008-05-08,2019-10-31,33,2005-07-15,2020-07-10,2094472.931,1801235.716
